"","Year","rgn_id","rgn_name","Wages","Sector"
"1",2015,5,"Connecticut",NA,"Construction"
"2",2015,5,"Connecticut",18007752,"Living Resources"
"3",2015,5,"Connecticut",NA,"Minerals"
"4",2015,5,"Connecticut",866879845,"Ship & Boat Building"
"5",2015,5,"Connecticut",858825581,"Tourism & Recreation"
"6",2015,5,"Connecticut",242640504,"Transportation"
"7",2015,5,"Connecticut",2031071705,"All Ocean Sectors"
"8",2014,5,"Connecticut",NA,"Construction"
"9",2014,5,"Connecticut",16870029,"Living Resources"
"10",2014,5,"Connecticut",20865179,"Minerals"
"11",2014,5,"Connecticut",842580989,"Ship & Boat Building"
"12",2014,5,"Connecticut",808560621,"Tourism & Recreation"
"13",2014,5,"Connecticut",253298739,"Transportation"
"14",2014,5,"Connecticut",1962829292,"All Ocean Sectors"
"15",2013,5,"Connecticut",18425616,"Construction"
"16",2013,5,"Connecticut",17384236,"Living Resources"
"17",2013,5,"Connecticut",18486700,"Minerals"
"18",2013,5,"Connecticut",793463054,"Ship & Boat Building"
"19",2013,5,"Connecticut",785412808,"Tourism & Recreation"
"20",2013,5,"Connecticut",296702463,"Transportation"
"21",2013,5,"Connecticut",1929874877,"All Ocean Sectors"
"22",2012,5,"Connecticut",19388000,"Construction"
"23",2012,5,"Connecticut",18582000,"Living Resources"
"24",2012,5,"Connecticut",19361000,"Minerals"
"25",2012,5,"Connecticut",738912000,"Ship & Boat Building"
"26",2012,5,"Connecticut",735967000,"Tourism & Recreation"
"27",2012,5,"Connecticut",344502000,"Transportation"
"28",2012,5,"Connecticut",1876712000,"All Ocean Sectors"
"29",2011,5,"Connecticut",15685714,"Construction"
"30",2011,5,"Connecticut",16856122,"Living Resources"
"31",2011,5,"Connecticut",21986735,"Minerals"
"32",2011,5,"Connecticut",715861224,"Ship & Boat Building"
"33",2011,5,"Connecticut",705716327,"Tourism & Recreation"
"34",2011,5,"Connecticut",348647959,"Transportation"
"35",2011,5,"Connecticut",1824754082,"All Ocean Sectors"
"36",2010,5,"Connecticut",15269474,"Construction"
"37",2010,5,"Connecticut",17425263,"Living Resources"
"38",2010,5,"Connecticut",23342105,"Minerals"
"39",2010,5,"Connecticut",731400000,"Ship & Boat Building"
"40",2010,5,"Connecticut",695094737,"Tourism & Recreation"
"41",2010,5,"Connecticut",349610526,"Transportation"
"42",2010,5,"Connecticut",1832142105,"All Ocean Sectors"
"43",2009,5,"Connecticut",11539615,"Construction"
"44",2009,5,"Connecticut",18362955,"Living Resources"
"45",2009,5,"Connecticut",24817987,"Minerals"
"46",2009,5,"Connecticut",708189507,"Ship & Boat Building"
"47",2009,5,"Connecticut",689587794,"Tourism & Recreation"
"48",2009,5,"Connecticut",362023555,"Transportation"
"49",2009,5,"Connecticut",1814521413,"All Ocean Sectors"
"50",2008,5,"Connecticut",NA,"Construction"
"51",2008,5,"Connecticut",13183369,"Living Resources"
"52",2008,5,"Connecticut",29036247,"Minerals"
"53",2008,5,"Connecticut",659051173,"Ship & Boat Building"
"54",2008,5,"Connecticut",NA,"Tourism & Recreation"
"55",2008,5,"Connecticut",380962687,"Transportation"
"56",2008,5,"Connecticut",1805013859,"All Ocean Sectors"
"57",2007,5,"Connecticut",NA,"Construction"
"58",2007,5,"Connecticut",12621262,"Living Resources"
"59",2007,5,"Connecticut",NA,"Minerals"
"60",2007,5,"Connecticut",631668882,"Ship & Boat Building"
"61",2007,5,"Connecticut",716225914,"Tourism & Recreation"
"62",2007,5,"Connecticut",480303433,"Transportation"
"63",2007,5,"Connecticut",1886868217,"All Ocean Sectors"
"64",2006,5,"Connecticut",NA,"Construction"
"65",2006,5,"Connecticut",10695900,"Living Resources"
"66",2006,5,"Connecticut",NA,"Minerals"
"67",2006,5,"Connecticut",640558087,"Ship & Boat Building"
"68",2006,5,"Connecticut",683292711,"Tourism & Recreation"
"69",2006,5,"Connecticut",337830296,"Transportation"
"70",2006,5,"Connecticut",1716594533,"All Ocean Sectors"
"71",2005,5,"Connecticut",NA,"Construction"
"72",2005,5,"Connecticut",13072855,"Living Resources"
"73",2005,5,"Connecticut",NA,"Minerals"
"74",2005,5,"Connecticut",686482961,"Ship & Boat Building"
"75",2005,5,"Connecticut",664619271,"Tourism & Recreation"
"76",2005,5,"Connecticut",356062280,"Transportation"
"77",2005,5,"Connecticut",1771960047,"All Ocean Sectors"
"78",2015,6,"Maine",11906977,"Construction"
"79",2015,6,"Maine",68757752,"Living Resources"
"80",2015,6,"Maine",2498062,"Minerals"
"81",2015,6,"Maine",835523256,"Ship & Boat Building"
"82",2015,6,"Maine",633123062,"Tourism & Recreation"
"83",2015,6,"Maine",127282946,"Transportation"
"84",2015,6,"Maine",1679092054,"All Ocean Sectors"
"85",2014,6,"Maine",17033948,"Construction"
"86",2014,6,"Maine",62135790,"Living Resources"
"87",2014,6,"Maine",2243453,"Minerals"
"88",2014,6,"Maine",777336566,"Ship & Boat Building"
"89",2014,6,"Maine",591922405,"Tourism & Recreation"
"90",2014,6,"Maine",126822502,"Transportation"
"91",2014,6,"Maine",1577495635,"All Ocean Sectors"
"92",2013,6,"Maine",11040394,"Construction"
"93",2013,6,"Maine",58935961,"Living Resources"
"94",2013,6,"Maine",2402956,"Minerals"
"95",2013,6,"Maine",741378325,"Ship & Boat Building"
"96",2013,6,"Maine",571681773,"Tourism & Recreation"
"97",2013,6,"Maine",119783251,"Transportation"
"98",2013,6,"Maine",1505222660,"All Ocean Sectors"
"99",2012,6,"Maine",11503000,"Construction"
"100",2012,6,"Maine",62806000,"Living Resources"
"101",2012,6,"Maine",2120000,"Minerals"
"102",2012,6,"Maine",746539000,"Ship & Boat Building"
"103",2012,6,"Maine",557851000,"Tourism & Recreation"
"104",2012,6,"Maine",112554000,"Transportation"
"105",2012,6,"Maine",1493372000,"All Ocean Sectors"
"106",2011,6,"Maine",11160204,"Construction"
"107",2011,6,"Maine",64026531,"Living Resources"
"108",2011,6,"Maine",1924490,"Minerals"
"109",2011,6,"Maine",754889796,"Ship & Boat Building"
"110",2011,6,"Maine",541916327,"Tourism & Recreation"
"111",2011,6,"Maine",113626531,"Transportation"
"112",2011,6,"Maine",1487544898,"All Ocean Sectors"
"113",2010,6,"Maine",10992632,"Construction"
"114",2010,6,"Maine",59207368,"Living Resources"
"115",2010,6,"Maine",1580000,"Minerals"
"116",2010,6,"Maine",774044211,"Ship & Boat Building"
"117",2010,6,"Maine",526543158,"Tourism & Recreation"
"118",2010,6,"Maine",118769474,"Transportation"
"119",2010,6,"Maine",1491136842,"All Ocean Sectors"
"120",2009,6,"Maine",9976445,"Construction"
"121",2009,6,"Maine",53676660,"Living Resources"
"122",2009,6,"Maine",1244111,"Minerals"
"123",2009,6,"Maine",744476445,"Ship & Boat Building"
"124",2009,6,"Maine",502975375,"Tourism & Recreation"
"125",2009,6,"Maine",118951820,"Transportation"
"126",2009,6,"Maine",1431300857,"All Ocean Sectors"
"127",2008,6,"Maine",10024520,"Construction"
"128",2008,6,"Maine",54122601,"Living Resources"
"129",2008,6,"Maine",2688699,"Minerals"
"130",2008,6,"Maine",749260128,"Ship & Boat Building"
"131",2008,6,"Maine",507301706,"Tourism & Recreation"
"132",2008,6,"Maine",130092751,"Transportation"
"133",2008,6,"Maine",1453491471,"All Ocean Sectors"
"134",2007,6,"Maine",10561462,"Construction"
"135",2007,6,"Maine",58251384,"Living Resources"
"136",2007,6,"Maine",2526024,"Minerals"
"137",2007,6,"Maine",763307863,"Ship & Boat Building"
"138",2007,6,"Maine",527116279,"Tourism & Recreation"
"139",2007,6,"Maine",69818383,"Transportation"
"140",2007,6,"Maine",1431581395,"All Ocean Sectors"
"141",2006,6,"Maine",9847380,"Construction"
"142",2006,6,"Maine",61104784,"Living Resources"
"143",2006,6,"Maine",2564920,"Minerals"
"144",2006,6,"Maine",716072893,"Ship & Boat Building"
"145",2006,6,"Maine",520302961,"Tourism & Recreation"
"146",2006,6,"Maine",71189066,"Transportation"
"147",2006,6,"Maine",1381083144,"All Ocean Sectors"
"148",2005,6,"Maine",9692127,"Construction"
"149",2005,6,"Maine",59007051,"Living Resources"
"150",2005,6,"Maine",2491187,"Minerals"
"151",2005,6,"Maine",746200940,"Ship & Boat Building"
"152",2005,6,"Maine",518693302,"Tourism & Recreation"
"153",2005,6,"Maine",79893067,"Transportation"
"154",2005,6,"Maine",1415977673,"All Ocean Sectors"
"155",2015,9,"New Hampshire",5088178,"Construction"
"156",2015,9,"New Hampshire",13183140,"Living Resources"
"157",2015,9,"New Hampshire",NA,"Minerals"
"158",2015,9,"New Hampshire",NA,"Ship & Boat Building"
"159",2015,9,"New Hampshire",145650194,"Tourism & Recreation"
"160",2015,9,"New Hampshire",650347868,"Transportation"
"161",2015,9,"New Hampshire",814270349,"All Ocean Sectors"
"162",2014,9,"New Hampshire",3380213,"Construction"
"163",2014,9,"New Hampshire",1418041,"Living Resources"
"164",2014,9,"New Hampshire",1316198,"Minerals"
"165",2014,9,"New Hampshire",NA,"Ship & Boat Building"
"166",2014,9,"New Hampshire",132513094,"Tourism & Recreation"
"167",2014,9,"New Hampshire",603529583,"Transportation"
"168",2014,9,"New Hampshire",742157129,"All Ocean Sectors"
"169",2013,9,"New Hampshire",2966502,"Construction"
"170",2013,9,"New Hampshire",15493596,"Living Resources"
"171",2013,9,"New Hampshire",1248276,"Minerals"
"172",2013,9,"New Hampshire",NA,"Ship & Boat Building"
"173",2013,9,"New Hampshire",130938916,"Tourism & Recreation"
"174",2013,9,"New Hampshire",584919212,"Transportation"
"175",2013,9,"New Hampshire",735566502,"All Ocean Sectors"
"176",2012,9,"New Hampshire",2986000,"Construction"
"177",2012,9,"New Hampshire",13985000,"Living Resources"
"178",2012,9,"New Hampshire",1759000,"Minerals"
"179",2012,9,"New Hampshire",NA,"Ship & Boat Building"
"180",2012,9,"New Hampshire",127437000,"Tourism & Recreation"
"181",2012,9,"New Hampshire",589195000,"Transportation"
"182",2012,9,"New Hampshire",735362000,"All Ocean Sectors"
"183",2011,9,"New Hampshire",1942857,"Construction"
"184",2011,9,"New Hampshire",14983673,"Living Resources"
"185",2011,9,"New Hampshire",1248980,"Minerals"
"186",2011,9,"New Hampshire",NA,"Ship & Boat Building"
"187",2011,9,"New Hampshire",114034694,"Tourism & Recreation"
"188",2011,9,"New Hampshire",614532653,"Transportation"
"189",2011,9,"New Hampshire",746741837,"All Ocean Sectors"
"190",2010,9,"New Hampshire",2120000,"Construction"
"191",2010,9,"New Hampshire",2174737,"Living Resources"
"192",2010,9,"New Hampshire",2898947,"Minerals"
"193",2010,9,"New Hampshire",NA,"Ship & Boat Building"
"194",2010,9,"New Hampshire",119338947,"Tourism & Recreation"
"195",2010,9,"New Hampshire",43396842,"Transportation"
"196",2010,9,"New Hampshire",169929474,"All Ocean Sectors"
"197",2009,9,"New Hampshire",1935760,"Construction"
"198",2009,9,"New Hampshire",1866167,"Living Resources"
"199",2009,9,"New Hampshire",3776231,"Minerals"
"200",2009,9,"New Hampshire",NA,"Ship & Boat Building"
"201",2009,9,"New Hampshire",116186296,"Tourism & Recreation"
"202",2009,9,"New Hampshire",44137045,"Transportation"
"203",2009,9,"New Hampshire",167902570,"All Ocean Sectors"
"204",2008,9,"New Hampshire",1768657,"Construction"
"205",2008,9,"New Hampshire",1091684,"Living Resources"
"206",2008,9,"New Hampshire",3183369,"Minerals"
"207",2008,9,"New Hampshire",NA,"Ship & Boat Building"
"208",2008,9,"New Hampshire",118828358,"Tourism & Recreation"
"209",2008,9,"New Hampshire",43310235,"Transportation"
"210",2008,9,"New Hampshire",168182303,"All Ocean Sectors"
"211",2007,9,"New Hampshire",1719823,"Construction"
"212",2007,9,"New Hampshire",1529347,"Living Resources"
"213",2007,9,"New Hampshire",4901440,"Minerals"
"214",2007,9,"New Hampshire",NA,"Ship & Boat Building"
"215",2007,9,"New Hampshire",125942414,"Tourism & Recreation"
"216",2007,9,"New Hampshire",46322259,"Transportation"
"217",2007,9,"New Hampshire",180415282,"All Ocean Sectors"
"218",2006,9,"New Hampshire",1267654,"Construction"
"219",2006,9,"New Hampshire",1388383,"Living Resources"
"220",2006,9,"New Hampshire",5674260,"Minerals"
"221",2006,9,"New Hampshire",NA,"Ship & Boat Building"
"222",2006,9,"New Hampshire",132192483,"Tourism & Recreation"
"223",2006,9,"New Hampshire",44537585,"Transportation"
"224",2006,9,"New Hampshire",185060364,"All Ocean Sectors"
"225",2005,9,"New Hampshire",1091657,"Construction"
"226",2005,9,"New Hampshire",NA,"Living Resources"
"227",2005,9,"New Hampshire",1535840,"Minerals"
"228",2005,9,"New Hampshire",NA,"Ship & Boat Building"
"229",2005,9,"New Hampshire",126394830,"Tourism & Recreation"
"230",2005,9,"New Hampshire",46800235,"Transportation"
"231",2005,9,"New Hampshire",175822562,"All Ocean Sectors"
"232",2015,10,"New York",240392442,"Construction"
"233",2015,10,"New York",94794574,"Living Resources"
"234",2015,10,"New York",20224806,"Minerals"
"235",2015,10,"New York",48361434,"Ship & Boat Building"
"236",2015,10,"New York",NA,"Tourism & Recreation"
"237",2015,10,"New York",1825176357,"Transportation"
"238",2015,10,"New York",NA,"All Ocean Sectors"
"239",2014,10,"New York",200450048,"Construction"
"240",2014,10,"New York",91606208,"Living Resources"
"241",2014,10,"New York",22950533,"Minerals"
"242",2014,10,"New York",43980601,"Ship & Boat Building"
"243",2014,10,"New York",NA,"Tourism & Recreation"
"244",2014,10,"New York",1702291950,"Transportation"
"245",2014,10,"New York",NA,"All Ocean Sectors"
"246",2013,10,"New York",212133005,"Construction"
"247",2013,10,"New York",87899507,"Living Resources"
"248",2013,10,"New York",17323153,"Minerals"
"249",2013,10,"New York",37365517,"Ship & Boat Building"
"250",2013,10,"New York",NA,"Tourism & Recreation"
"251",2013,10,"New York",1602488670,"Transportation"
"252",2013,10,"New York",NA,"All Ocean Sectors"
"253",2012,10,"New York",215775000,"Construction"
"254",2012,10,"New York",98654000,"Living Resources"
"255",2012,10,"New York",35868000,"Minerals"
"256",2012,10,"New York",36463000,"Ship & Boat Building"
"257",2012,10,"New York",NA,"Tourism & Recreation"
"258",2012,10,"New York",1625318000,"Transportation"
"259",2012,10,"New York",NA,"All Ocean Sectors"
"260",2011,10,"New York",298792857,"Construction"
"261",2011,10,"New York",88815306,"Living Resources"
"262",2011,10,"New York",23725510,"Minerals"
"263",2011,10,"New York",41093878,"Ship & Boat Building"
"264",2011,10,"New York",NA,"Tourism & Recreation"
"265",2011,10,"New York",1663717347,"Transportation"
"266",2011,10,"New York",NA,"All Ocean Sectors"
"267",2010,10,"New York",370325263,"Construction"
"268",2010,10,"New York",83265263,"Living Resources"
"269",2010,10,"New York",30306316,"Minerals"
"270",2010,10,"New York",46848421,"Ship & Boat Building"
"271",2010,10,"New York",NA,"Tourism & Recreation"
"272",2010,10,"New York",1772466316,"Transportation"
"273",2010,10,"New York",NA,"All Ocean Sectors"
"274",2009,10,"New York",275300857,"Construction"
"275",2009,10,"New York",84253747,"Living Resources"
"276",2009,10,"New York",30247323,"Minerals"
"277",2009,10,"New York",51985011,"Ship & Boat Building"
"278",2009,10,"New York",NA,"Tourism & Recreation"
"279",2009,10,"New York",1879441113,"Transportation"
"280",2009,10,"New York",NA,"All Ocean Sectors"
"281",2008,10,"New York",156356077,"Construction"
"282",2008,10,"New York",58622601,"Living Resources"
"283",2008,10,"New York",39710021,"Minerals"
"284",2008,10,"New York",48154584,"Ship & Boat Building"
"285",2008,10,"New York",NA,"Tourism & Recreation"
"286",2008,10,"New York",1913066098,"Transportation"
"287",2008,10,"New York",NA,"All Ocean Sectors"
"288",2007,10,"New York",154057586,"Construction"
"289",2007,10,"New York",56621262,"Living Resources"
"290",2007,10,"New York",28669989,"Minerals"
"291",2007,10,"New York",51139535,"Ship & Boat Building"
"292",2007,10,"New York",NA,"Tourism & Recreation"
"293",2007,10,"New York",1892541528,"Transportation"
"294",2007,10,"New York",NA,"All Ocean Sectors"
"295",2006,10,"New York",138355353,"Construction"
